CFU/mL,Sensor2,Sensor1,Sensor3,label
30500000.0,70.734,-68.02,52.47,1
3050000.0,50.162,-95.7,32.63,1
305000.0,-8.39,-99.96,-10.41,1
30500.0,-18.7,-107.42,-23.93,1
3050.0,-19.62,-109.94,-27.24,1
700.0,-20.62,-112.206,-31.24,1
80.0,-25.25,-115.18,-36.27,1
10.0,-35.58,-128.55,-54.39,1
1.0,-50.57,-150.23,-64.37,1
1.0,-65.5,-183.78,-68.34,1
49200000.0,99.88,-84.64,61.648,2
4920000.0,78.77,-255.56,54.62,2
492000.0,66.63,-298.65,35.35,2
49200.0,13.0,-277.04,-4.65,2
4920.0,8.0,-261.07,-20.61,2
490.0,3.0,-252.281,-22.08,2
180.0,5.0,-255.28,-26.12,2
40.0,6.0,-161.09,-28.53,2
1.0,35.203,-137.72,-34.81,2
1.0,45.31,-131.26,-69.0,2
2880000.0,-36.7,80.43,102.4,3
288000.0,-53.4,109.723,73.8,3
28800.0,-60.1,139.061,28.14,3
2880.0,-62.8,161.443,25.4,3
800.0,-64.7,164.42,-36.2,3
160.0,-66.8,164.52,-56.61,3
60.0,-68.0,164.78,-54.59,3
20.0,-68.3,165.0,-54.59,3
1.0,-68.8,166.657,-56.36,3
1.0,-69.56,167.0,-67.8,3
