CFU/mL,Sensor2,Sensor1,Sensor3,log
30500000.0,70.734,-68.02,52.47,17.23323724157764
3050000.0,50.162,-95.7,32.63,14.930652148583594
305000.0,-8.39,-99.96,-10.41,12.628067055589549
30500.0,-18.7,-107.42,-23.93,10.325481962595504
3050.0,-19.62,-109.94,-27.24,8.022896869601457
700.0,-20.62,-112.206,-31.24,6.551080335043404
80.0,-25.25,-115.18,-36.27,4.382026634673881
10.0,-35.58,-128.55,-54.39,2.302585092994046
1.0,-50.57,-150.23,-64.37,0.0
1.0,-65.5,-183.78,-68.34,0.0
19433.418743807648,0.0,-99.83850479972321,0.0,12.641603456011326
3094890.5075906552,50.316311053252946,-95.6594348389487,32.35447316735974,14.934730246204241
30413290.450284377,71.5478840756502,-68.30186025811477,53.67604158442349,17.309128996175705
324879.1482733022,0.0,-100.05772656149206,0.0,12.601555165906147
3331523.0846185824,49.636112642563006,-95.58968015431776,33.58881209296357,14.939488962655117
30291286.90646695,71.21879167343796,-67.97242965414624,52.596196342428904,17.198076819521543
329549.1953043724,0.0,-100.51581729160402,0.0,12.59813974137204
3227476.74352717,49.49104275998463,-95.30843533298757,32.2215445086691,14.945150087669626
30684463.343133934,70.68786931589013,-68.21358474433076,52.95135844927474,17.24052969133962
135412.95350011796,0.0,-99.88677071250018,0.0,12.637581962455378
3036921.674397244,49.42245620892747,-95.48484289643584,33.213241020091736,14.951564845915662
30774305.31316802,70.45670458141744,-67.92178603266238,52.79954833614673,17.267304200889516
416345.7451870226,0.0,-100.10777178283371,0.0,12.658242173010825
2695592.7048568274,49.435720182191574,-95.39656680593913,32.534603222162005,14.976569950353136
30356066.284840073,70.75741038199291,-68.24790354498263,52.22819609274061,17.19380191157935
